Phase,変数A,変数B,関係性,N,統計量,p値,検定,低分散注意,q値(BH-FDR)
A: Δ×Δ,MMSE合計,CDR-SB,独立した組み合わせ,27,-0.720150124095976,2.282715054126259e-05,Spearman相関,,0.00131318896988109
A: Δ×Δ,MMSE合計,Global CDR,独立した組み合わせ,27,-0.4648590507983574,0.014562627993896689,Spearman相関,,0.17415714294741755
A: Δ×Δ,MMSE合計,MoCA-J合計,独立した組み合わせ,25,0.671537431393694,0.00023742589220386584,Spearman相関,,0.007321452629606335
A: Δ×Δ,MMSE合計,MMSE:時間見当識,構造的(部分-全体),31,0.7084862331100218,8.205406090279215e-06,Spearman相関,,0.0006010459961129525
A: Δ×Δ,MMSE合計,MMSE:場所見当識,構造的(部分-全体),31,0.5020275289830259,0.004006148134868167,Spearman相関,,0.0733625877197733
A: Δ×Δ,MMSE合計,MMSE:物品呼称,構造的(部分-全体),31,-0.2671174263158566,0.14631339127128373,Spearman相関,低分散注意: B非モーダル数=1,0.5640766268748176
A: Δ×Δ,MMSE合計,MMSE:記銘,構造的(部分-全体),31,0.11301121882593933,0.544975170004698,Spearman相関,低分散注意: B非モーダル数=1,0.8551992424450191
A: Δ×Δ,MMSE合計,MMSE:注意計算,構造的(部分-全体),31,0.6963022329997819,1.3600377985826089e-05,Spearman相関,,0.0008855357221882321
A: Δ×Δ,MMSE合計,MMSE:遅延再生,構造的(部分-全体),31,0.5068801396604509,0.0036137401097942703,Spearman相関,,0.06831134530127234
A: Δ×Δ,MMSE合計,MMSE:復唱,構造的(部分-全体),31,0.22103057768156562,0.23211742594828463,Spearman相関,低分散注意: B非モーダル数=3,0.6951559125945811
A: Δ×Δ,MMSE合計,MMSE:読字理解,構造的(部分-全体),31,,,Spearman相関,低分散注意: B非モーダル数=0,
A: Δ×Δ,MMSE合計,MMSE:3段階命令,構造的(部分-全体),31,0.3116643045556747,0.08786475066852932,Spearman相関,,0.42076855640776567
A: Δ×Δ,MMSE合計,MMSE:書字,構造的(部分-全体),31,0.33988604670353384,0.06137716836473011,Spearman相関,低分散注意: B非モーダル数=2,0.3723418706835689
A: Δ×Δ,MMSE合計,MMSE:図形模写,構造的(部分-全体),31,0.337206148772208,0.06358424470372732,Spearman相関,低分散注意: B非モーダル数=4,0.3802078305753491
A: Δ×Δ,MMSE合計,CDR:記憶,独立した組み合わせ,27,-0.40703886838720854,0.03510224598650613,Spearman相関,,0.28569327983461934
A: Δ×Δ,MMSE合計,CDR:見当識,独立した組み合わせ,27,-0.6953661134843332,5.6702243550032464e-05,Spearman相関,,0.0022151676480212682
A: Δ×Δ,MMSE合計,CDR:判断力・問題解決,独立した組み合わせ,27,-0.4736941191883631,0.012564334203693798,Spearman相関,,0.15745651986473808
A: Δ×Δ,MMSE合計,CDR:地域社会の活動,独立した組み合わせ,27,-0.550560462290163,0.0029226645442260403,Spearman相関,,0.058471429842227106
A: Δ×Δ,MMSE合計,CDR:家庭・趣味,独立した組み合わせ,27,-0.33771540573048653,0.08492174139608215,Spearman相関,,0.41715614996117883
A: Δ×Δ,MMSE合計,CDR:身の回りの世話,独立した組み合わせ,27,-0.3690875029271914,0.05814545382539178,Spearman相関,,0.36325206573544844
A: Δ×Δ,CDR-SB,Global CDR,独立した組み合わせ,27,0.7093487793082153,3.432278750923153e-05,Spearman相関,,0.001547165652339206
A: Δ×Δ,CDR-SB,MoCA-J合計,独立した組み合わせ,21,-0.5597949189544997,0.008318131841472337,Spearman相関,,0.12827434892375764
A: Δ×Δ,CDR-SB,MMSE:時間見当識,独立した組み合わせ,27,-0.7756236795580667,2.008948067505324e-06,Spearman相関,,0.00019620726125968666
A: Δ×Δ,CDR-SB,MMSE:場所見当識,独立した組み合わせ,27,-0.5079457920335153,0.00683256283188557,Spearman相関,,0.11439662341385555
A: Δ×Δ,CDR-SB,MMSE:物品呼称,独立した組み合わせ,27,0.12716279279491932,0.5273442460377322,Spearman相関,低分散注意: B非モーダル数=1,0.8521525748125034
A: Δ×Δ,CDR-SB,MMSE:記銘,独立した組み合わせ,27,-0.06358139639745966,0.7527127036094686,Spearman相関,低分散注意: B非モーダル数=1,0.9059577088557726
A: Δ×Δ,CDR-SB,MMSE:注意計算,独立した組み合わせ,27,-0.4181736543247577,0.029957239785874445,Spearman相関,,0.25441945673220906
A: Δ×Δ,CDR-SB,MMSE:遅延再生,独立した組み合わせ,27,-0.19832316521663718,0.3213681149894582,Spearman相関,,0.7583787056172921
A: Δ×Δ,CDR-SB,MMSE:復唱,独立した組み合わせ,27,-0.07335871516052551,0.7161294313831208,Spearman相関,低分散注意: B非モーダル数=3,0.9059577088557726
A: Δ×Δ,CDR-SB,MMSE:読字理解,独立した組み合わせ,27,,,Spearman相関,低分散注意: B非モーダル数=0,
A: Δ×Δ,CDR-SB,MMSE:3段階命令,独立した組み合わせ,27,0.15885455580983626,0.4286996017639809,Spearman相関,,0.8232507499347392
A: Δ×Δ,CDR-SB,MMSE:書字,独立した組み合わせ,27,-0.4218126121730217,0.02841432631697954,Spearman相関,低分散注意: B非モーダル数=2,0.24851933166791063
A: Δ×Δ,CDR-SB,MMSE:図形模写,独立した組み合わせ,27,-0.2667557635297251,0.17861294904608857,Spearman相関,低分散注意: B非モーダル数=4,0.623018977029809
A: Δ×Δ,CDR-SB,CDR:記憶,構造的(部分-全体),27,0.4975104049757467,0.008279339756156063,Spearman相関,,0.12827434892375764
A: Δ×Δ,CDR-SB,CDR:見当識,構造的(部分-全体),27,0.6515837655350016,0.00023170539288797418,Spearman相関,,0.007321452629606335
A: Δ×Δ,CDR-SB,CDR:判断力・問題解決,構造的(部分-全体),27,0.6841924320571475,8.305410495709947e-05,Spearman相関,,0.0030393144890888003
A: Δ×Δ,CDR-SB,CDR:地域社会の活動,構造的(部分-全体),27,0.6998231831885795,4.846480785134086e-05,Spearman相関,,0.002028598385777553
A: Δ×Δ,CDR-SB,CDR:家庭・趣味,構造的(部分-全体),27,0.6369427769809676,0.00035357794131107866,Spearman相関,,0.009418030618558731
A: Δ×Δ,CDR-SB,CDR:身の回りの世話,構造的(部分-全体),27,0.5897592532404287,0.0012055853634754836,Spearman相関,,0.02717203934602436
A: Δ×Δ,Global CDR,MoCA-J合計,独立した組み合わせ,21,-0.3298030481034753,0.14428487669077147,Spearman相関,,0.5640766268748176
A: Δ×Δ,Global CDR,MMSE:時間見当識,独立した組み合わせ,27,-0.34099392532941064,0.08175078371668926,Spearman相関,,0.41663304620493047
A: Δ×Δ,Global CDR,MMSE:場所見当識,独立した組み合わせ,27,-0.3409003371472514,0.08184003331380198,Spearman相関,,0.41663304620493047
A: Δ×Δ,Global CDR,MMSE:物品呼称,独立した組み合わせ,27,0.1257941804066302,0.531834884143783,Spearman相関,低分散注意: B非モーダル数=1,0.8521525748125034
A: Δ×Δ,Global CDR,MMSE:記銘,独立した組み合わせ,27,-0.1257941804066302,0.531834884143783,Spearman相関,低分散注意: B非モーダル数=1,0.8521525748125034
A: Δ×Δ,Global CDR,MMSE:注意計算,独立した組み合わせ,27,-0.39753596963481674,0.04003227902556347,Spearman相関,,0.3007553270382076
A: Δ×Δ,Global CDR,MMSE:遅延再生,独立した組み合わせ,27,-0.3486815503440067,0.07466924846830127,Spearman相関,,0.4024045624779249
A: Δ×Δ,Global CDR,MMSE:復唱,独立した組み合わせ,27,-0.19276188123470586,0.33539704414692895,Spearman相関,低分散注意: B非モーダル数=3,0.7583787056172921
A: Δ×Δ,Global CDR,MMSE:読字理解,独立した組み合わせ,27,,,Spearman相関,低分散注意: B非モーダル数=0,
A: Δ×Δ,Global CDR,MMSE:3段階命令,独立した組み合わせ,27,0.13466029252676673,0.5030706140526024,Spearman相関,,0.8325918948885798
A: Δ×Δ,Global CDR,MMSE:書字,独立した組み合わせ,27,-0.19276188123470586,0.33539704414692895,Spearman相関,低分散注意: B非モーダル数=2,0.7583787056172921
A: Δ×Δ,Global CDR,MMSE:図形模写,独立した組み合わせ,27,-0.14701444780445178,0.4643195245057559,Spearman相関,低分散注意: B非モーダル数=4,0.8232507499347392
A: Δ×Δ,Global CDR,CDR:記憶,構造的(部分-全体),27,0.3832796534981288,0.04844508467218389,Spearman相関,,0.3263082714701122
A: Δ×Δ,Global CDR,CDR:見当識,構造的(部分-全体),27,0.2344761291323731,0.23910685460653142,Spearman相関,,0.6981171322766211
