n1,n2,med1,med2,min1,max1,min2,max2,u,p,r,cles,n_req_1to1,n_req_obs,note,項目,群分け,転帰,比較対象
1,12,22,25,22,22,22,28,1,0.3077,-0.8333,0.08333,16,54,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE合計,ベースライン値
1,12,2,5,2,2,3,5,0,0.1538,-1,0,11,37,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_時間見当識,ベースライン値
1,12,4,4.5,4,4,3,5,3.5,0.7692,-0.4167,0.2917,61,213,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_場所見当識,ベースライン値
1,12,3,3,3,3,2,3,7,0.9231,0.1667,0.5833,377,1327,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_記銘,ベースライン値
1,12,3,4.5,3,3,1,5,2,0.4615,-0.6667,0.1667,24,83,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_注意計算,ベースライン値
1,12,1,0,1,1,0,3,9,0.6154,0.5,0.75,42,148,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_遅延再生,ベースライン値
1,12,1,1,1,1,0,1,7,0.9231,0.1667,0.5833,377,1327,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_復唱,ベースライン値
1,12,3,3,3,3,2,3,6.5,1,0.08333,0.5417,1507,5306,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_3段階命令,ベースライン値
1,12,1.5,1.5,1.5,1.5,0.5,2.5,6,1,0,0.5,,,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR-SB,ベースライン値
1,12,0.5,0,0.5,0.5,0,0.5,9.5,0.6154,0.5833,0.7917,31,109,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_見当識,ベースライン値
1,12,0.5,0.5,0.5,0.5,0,0.5,7,0.9231,0.1667,0.5833,377,1327,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_判断力・問題解決,ベースライン値
1,12,0,0,0,0,0,0.5,3.5,0.7692,-0.4167,0.2917,61,213,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_地域社会の活動,ベースライン値
1,12,0,0,0,0,0,0.5,3.5,0.7692,-0.4167,0.2917,61,213,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_家庭・趣味,ベースライン値
8,5,25,24,22,28,22,28,22,0.8329,0.1,0.55,1047,1106,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE合計,ベースライン値
8,5,4.5,5,2,5,3,5,18,0.8329,-0.1,0.45,1047,1106,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_時間見当識,ベースライン値
8,5,4.5,4,4,5,3,5,24,0.6216,0.2,0.6,262,277,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_場所見当識,ベースライン値
8,5,3,3,2,3,2,3,21.5,0.9433,0.075,0.5375,1861,1966,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_記銘,ベースライン値
8,5,4.5,4,3,5,1,5,21,0.9433,0.05,0.525,4187,4422,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_注意計算,ベースライン値
8,5,0,1,0,3,0,1,17,0.7242,-0.15,0.425,466,492,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_遅延再生,ベースライン値
8,5,1,1,0,1,1,1,15,0.5237,-0.25,0.375,168,177,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_復唱,ベースライン値
8,5,3,3,2,3,3,3,17.5,0.8329,-0.125,0.4375,670,708,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_3段階命令,ベースライン値
8,5,1.5,1,1,2.5,0.5,2.5,24.5,0.6216,0.225,0.6125,207,219,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR-SB,ベースライン値
8,5,0.25,0,0,0.5,0,0.5,22,0.8329,0.1,0.55,1047,1106,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_見当識,ベースライン値
