転帰,キー,n_あり,n_なし,Δあり,Δなし,Δあり中央値,Δなし中央値,U,p_raw,効果量r,CLES,必要n_1対1,Spearman_rho,p_rho,BLあり,BLなし,p_BL差,BL調整_群間差,p_BL調整,n_余地あり,p_余地限定,Δあり_余地,Δなし_余地,p_年換算,n年換算,族,p_raw_FDR,備考
MMSE合計,ΔMMSE合計,6,10,"-0.5［-2, 3］（-2, -2, -1, 0, 2, 3）","0［-4, 3］（-4, -2, -2, -1, 0, 0, 1, 1, 1, 3）",-0.5,0,31,0.95779,0.033333,0.51667,9419,0.028427,0.91677,"22.5［20, 28］（20, 22, 22, 23, 25, 28）","24.5［22, 28］（22, 22, 24, 24, 24, 25, 25, 25, 27, 28）",0.31319,-0.15005,0.88299,6/10,0.95779,"-0.5［-2, 3］（-2, -2, -1, 0, 2, 3）","0［-4, 3］（-4, -2, -2, -1, 0, 0, 1, 1, 1, 3）",0.72416,5/8,主要（総合点）,1,
CDR-SB,ΔCDR-SB,6,10,"0［0, 2］（0, 0, 0, 0, 0.5, 2）","1［0, 2.5］（0, 0, 0.5, 0.5, 1, 1, 1, 2, 2, 2.5）",0,1,15,0.11788,-0.5,0.25,42,-0.4354,0.091864,"2.25［1, 4］（1, 1.5, 2, 2.5, 3, 4）","1.5［0.5, 2.5］（0.5, 1, 1, 1, 1.5, 1.5, 2, 2, 2, 2.5）",0.1471,-0.50681,0.26361,6/10,0.11788,"0［0, 2］（0, 0, 0, 0, 0.5, 2）","1［0, 2.5］（0, 0, 0.5, 0.5, 1, 1, 1, 2, 2, 2.5）",0.065268,5/8,主要（総合点）,0.47153,
Global CDR,ΔGlobalCDR,6,10,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5）",0,0,29,0.95779,-0.033333,0.48333,9419,-0.041345,0.87916,"0.5［0.5, 1］（0.5, 0.5, 0.5, 0.5, 0.5, 1）","0.5［0.5, 0.5］（0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",0.63536,-5.7362e-17,1,6/10,0.95779,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5）",0.5237,5/8,主要（総合点）,1,
MoCA-J,ΔMoCA-J,1,5,"1［1, 1］（1）","0［-4, 2］（-4, -2, 0, 1, 2）",1,0,3.5,1,0.4,0.7,66,0.26568,0.61085,"17［17, 17］（17）","21［19, 24］（19, 21, 21, 23, 24）",0.33333,1.5533,0.83333,1/5,1,"1［1, 1］（1）","0［-4, 2］（-4, -2, 0, 1, 2）",,,主要（総合点）,1,
MMSE 時間見当識,ΔMMSE_時間見当識,6,10,"-0.5［-1, 2］（-1, -1, -1, 0, 1, 2）","-1［-3, 0］（-3, -1, -1, -1, -1, -1, 0, 0, 0, 0）",-0.5,-1,38.5,0.42782,0.28333,0.64167,131,0.25865,0.33341,"2.5［2, 5］（2, 2, 2, 3, 4, 5）","5［3, 5］（3, 3, 3, 4, 5, 5, 5, 5, 5, 5）",0.055944,0.4234,0.4704,6/10,0.42782,"-0.5［-1, 2］（-1, -1, -1, 0, 1, 2）","-1［-3, 0］（-3, -1, -1, -1, -1, -1, 0, 0, 0, 0）",0.6216,5/8,MMSE下位項目,0.83159,
MMSE 場所見当識,ΔMMSE_場所見当識,6,10,"0.5［-1, 1］（-1, 0, 0, 1, 1, 1）","0［-1, 2］（-1, 0, 0, 0, 0, 0, 0, 0, 0, 2）",0.5,0,37.5,0.49226,0.25,0.625,168,0.24254,0.36543,"4.5［4, 5］（4, 4, 4, 5, 5, 5）","4.5［3, 5］（3, 4, 4, 4, 4, 5, 5, 5, 5, 5）",0.95779,0.32281,0.25,6/10,0.49226,"0.5［-1, 1］（-1, 0, 0, 1, 1, 1）","0［-1, 2］（-1, 0, 0, 0, 0, 0, 0, 0, 0, 2）",0.28438,5/8,MMSE下位項目,0.83159,
MMSE 物品呼称,ΔMMSE_物品呼称,6,10,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"2［2, 2］（2, 2, 2, 2, 2, 2）","2［2, 2］（2, 2, 2, 2, 2, 2, 2, 2, 2, 2）",,,,6/10,,,,,,MMSE下位項目,,全例同値
MMSE 記銘,ΔMMSE_記銘,6,10,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 1, 1）",0,0,24,0.56219,-0.2,0.4,262,-0.29277,0.27115,"3［3, 3］（3, 3, 3, 3, 3, 3）","3［2, 3］（2, 2, 3, 3, 3, 3, 3, 3, 3, 3）",0.56219,8.8818e-17,1,6/10,0.56219,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 1, 1）",0.83294,5/8,MMSE下位項目,0.83159,
MMSE 注意計算,ΔMMSE_注意計算,6,10,"0［-2, 1］（-2, -1, 0, 0, 1, 1）","0［-3, 3］（-3, 0, 0, 0, 0, 0, 0, 1, 1, 3）",0,0,26,0.71279,-0.13333,0.43333,589,-0.12067,0.6562,"4［1, 5］（1, 3, 3, 5, 5, 5）","4［1, 5］（1, 3, 3, 4, 4, 4, 5, 5, 5, 5）",0.95779,-0.51282,0.36551,6/10,0.71279,"0［-2, 1］（-2, -1, 0, 0, 1, 1）","0［-3, 3］（-3, 0, 0, 0, 0, 0, 0, 1, 1, 3）",0.6216,5/8,MMSE下位項目,0.83159,
MMSE 遅延再生,ΔMMSE_遅延再生,6,10,"-0.5［-1, 0］（-1, -1, -1, 0, 0, 0）","0［-1, 0］（-1, 0, 0, 0, 0, 0, 0, 0, 0, 0）",-0.5,0,18,0.21978,-0.4,0.3,66,-0.44721,0.082418,"0.5［0, 1］（0, 0, 0, 1, 1, 1）","0［0, 3］（0, 0, 0, 0, 0, 0, 0, 1, 1, 3）",0.71279,-0.4,0.12587,3/3,0.4,"-1［-1, -1］（-1, -1, -1）","0［-1, 0］（-1, 0, 0）",0.12743,5/8,MMSE下位項目,0.83159,
